PartNumber,PartDescription,Brand,CapHardwareDescription,CapScrewQuantity,CapWrench,CapStyleDescription,ImageURL,TotalQOH,MSRP_CAD,MAP_CAD,RunDate,1011,1015,1019,1022,1028,1031,1036,1042,1072,1085,1086,1088,4033,4035
00-10-33-400-160,FALCON 3.3 FAST ADJUST CARTRIDGE KIT,Falcon Shocks,,,,,https://assets.wheelpros.com/transform/e146eb34-49b5-42bd-b200-6fcd6125b4ec/00-10-33-400-160-jpg?size=500,0,636.00,636.00,05/03/2026 10:06:28 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-10-35-400-160,3.5 E-Adjust Cartridge Only,Teraflex,,,,,https://images.wheelpros.com/Accessories/00-10-35-400-160.png,0,649.99,649.99,05/03/2026 10:06:28 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000000000000015,"SPINNER TOWER 5LUG 3.195"" BULK",Gorilla Automotive,,,,,https://images.wheelpros.com/Accessories/000000000000000015.png,20,14.30,0.00,05/03/2026 10:06:28 PM,0,0,4,0,0,0,0,0,0,0,0,0,16,0
000000000000000735,SPINNER STUD MOUNT 3 BAR CHR BULK,Gorilla Automotive,,,,,https://images.wheelpros.com/Accessories/000000000000000735.png,116,26.00,0.00,05/03/2026 10:06:28 PM,0,0,3,0,0,0,0,0,0,100,0,0,13,0
000000000000000777,"CAP LOCKS FLAT SEAT 8MM 0.75"" BAG",Gorilla Automotive,,,,,https://images.wheelpros.com/Accessories/000000000000000777.png,100,14.51,0.00,05/03/2026 10:06:28 PM,0,0,0,0,0,0,0,0,0,100,0,0,0,0
000000000000000781,"CAP LOCKS FLAT SEAT 8MM 1.50"" BAG",Gorilla Automotive,,,,,https://images.wheelpros.com/Accessories/000000000000000781.png,100,14.51,0.00,05/03/2026 10:06:28 PM,0,0,0,0,0,0,0,0,0,100,0,0,0,0
000000000000000782,"CAP LOCKS FLAT SEAT 8MM 2.0"" BAG",Gorilla Automotive,,,,,https://images.wheelpros.com/Accessories/000000000000000782.png,100,14.51,0.00,05/03/2026 10:06:28 PM,0,0,0,0,0,0,0,0,0,100,0,0,0,0
000000000000000783,"CAP LOCKS CONE SEAT 5/16 1.18"" BAG",Gorilla Automotive,,,,,https://images.wheelpros.com/Accessories/000000000000000783.png,100,14.51,0.00,05/03/2026 10:06:28 PM,0,0,0,0,0,0,0,0,0,100,0,0,0,0
000000000000000784,"CAP LOCKS CONE SEAT 5/16 1.75"" BAG",Gorilla Automotive,,,,,https://images.wheelpros.com/Accessories/000000000000000784.png,66,14.51,0.00,05/03/2026 10:06:28 PM,0,0,0,0,0,0,0,0,0,66,0,0,0,0
000000000000000786,"CAP LOCKS FLAT SEAT 5/16 1.75"" BAG",Gorilla Automotive,,,,,https://images.wheelpros.com/Accessories/000000000000000786.png,100,14.51,0.00,05/03/2026 10:06:28 PM,0,0,0,0,0,0,0,0,0,100,0,0,0,0
