"Quadratec Part No","Part No",Description,Brand,"Inventory PA1","Inventory PA2","Inventory NV1","Inventory Total",Cost,Surcharge,UPC,MAP
11027-15,13554.15,"BIMINI TOP PLUS 76-91 CJ/YJ BLACK DENIM","Rugged Ridge",0,0,0,0,208.79,,804314120788,289.99
11040-02,907DOORPC,"DIA PLATE 1/2 DOORS CJ7/YJ BLACK","Warrior Products",0,0,0,0,608.45,,,877.99
11040-03,907DOOR,"DIA PLATE 1/2 DOORS CJ7/YJ ALUMINUM","Warrior Products",0,0,0,0,554.39,,,799.99
11056-15,9000815,"DUSTER DECK CVR 92-95YJ W/SUPERTOP BLDEN",Bestop,0,0,0,0,146.29,,77848046958,189.99
11056-17,9000837,"DUSTER DECK CVR 92-95 YJ W/SUPERTOP SPIC",Bestop,0,0,0,0,115.49,,77848047269,149.99
11057-01,9000501,"DUSTER DECK CVR 80-91 CJ7/YJ W/HTOP BLK",Bestop,0,1,0,1,153.99,,77848055356,199.99
11057-15,9000515,"DUSTER DECK CVR 80-91 CJ7/YJ W/HTOP BLDN",Bestop,0,5,0,5,153.99,,77848047665,199.99
11058-15,9001015,"DUSTER DECK CVR 92-95 YJ W/HTOP BLK DENM",Bestop,0,0,0,0,153.99,,77848050849,199.99
11058-17,9001037,"DUSTER DECK CVR 92-95 YJ W/HTOP SPICE",Bestop,0,0,0,0,153.99,,77848050832,199.99
11125-15,5252115,"STRAPLESS BIKINI 97-02 TJ BLACK DENIM",Bestop,0,0,0,0,69.29,,77848056780,89.99
11129-15,5253015,"SAFARI BIKINI 97-02 TJ BLACK DENIM",Bestop,0,0,0,0,84.69,,77848056766,109.99
11129-17,5253037,"SAFARI BIKINI 97-02 TJ SPICE",Bestop,0,6,0,6,92.39,,77848056773,119.99
11157-15,9002015,"DUSTER DECK CVR 97-02 TJ W/HARDTOP BLDEN",Bestop,0,0,0,0,153.99,,77848060015,199.99
11157-17,9002037,"DUSTER DECK CVR 97-02 TJ W/HARDTOP SPICE",Bestop,0,0,0,0,138.59,,77848060022,179.99
12005-0003,RT34043,"FRONT FRAME COVER SS 87-95 YJ","Crown Automotive",0,3,0,3,76.07,,849603012429,112.99
12005-13,907FC,"DIA PLATE FRONT FRAME COVER 87-95 YJ","Warrior Products",0,0,0,0,70.68,,634146907055,101.99
12005-14,907FCPC,"DIA FRONT FRAME COVER YJ BLACK","Warrior Products",0,0,0,0,81.07,,634146907062,116.99
12005-501,11503.20,"RR ROCK CRUSHER W/2 IN REC:YJ/TJ BLK","Rugged Ridge",0,2,0,2,208.79,,804314116491,289.99
12005-601,11502.20,"FR ROCK CRUSHER: YJ/TJ TEXT BLACK","Rugged Ridge",0,3,0,3,172.79,,804314116422,239.99
12006-0053,RT34037,"YJ BUMPER FRONT 54IN W/HOLES SS","Crown Automotive",0,0,0,0,154.35,,849603012368,226.99
12011-0110,304M30,"DIFF COVER STAINLESS DANA 30 72-86 & TJ",Kentrol,0,0,0,0,85.31,,812421020914,119.99
12011-02,304CM30,"DIFF COVER STAINLESS DANA 30 87-95 FRNT",Kentrol,0,0,0,0,79.62,,812421020884,111.99
12011-03,304M44,"DIFF COVER STAINLESS DANA44 48-75,86 CJ",Kentrol,0,2,0,2,86.73,,812421020938,121.99
12011-04,304M35,"DIFF COVER STAINLESS DANA 35 87-06 REAR",Kentrol,0,1,0,1,88.16,,812421020921,123.99
12011-05,304M20,"DIFF COVER STAINLESS AMC 20 76-85 REAR",Kentrol,3,0,0,3,81.76,,812421020907,114.99
12018-0000,1030,"WARRIOR 3500 HITCH KIT 87-95 WRANGLER","Warrior Products",0,0,0,0,309.76,,634146103006,446.99
12018-02,510,"REAR BUMPER W/RECEIVER 87-95","Warrior Products",0,0,0,0,266.10,,,383.99
12018-12,505,"REAR BUMPER W/O RECEIVER 87-95","Warrior Products",0,0,0,0,279.50,,,362.99
12020-2108,008-199,"FULL STEEL DOOR HANGER","Lange Originals",1,3,0,4,43.19,,,
12105-103,30479,"KENTROL FRONT FRAME COVER SS 97+ TJ",Kentrol,0,2,0,2,81.05,,812421020730,113.99
12105-13,916FC,"DIA PLATE FRONT FRAME COVER 97+ TJ","Warrior Products",0,1,0,1,101.17,,634146916095,145.99
12006-300,8620,"RAMPAGE FR BUMPER W/HOOP 76-06 BLACK","Rampage Products",0,0,0,0,187.91,,745496086205,
12106-5300,RT20011,"OEM FRONT BUMPER CHROME 97-06 TJ","Crown Automotive",0,2,0,2,92.61,,849603008989,136.99
12106-5400,RT20012,"BUMPER REAR OEM CHROME 97-06 TJ","Crown Automotive",0,0,0,0,71.66,,849603008996,104.99
12106-56,5ED18T3X,"BUMPER REAR OEM BLACK 97+ TJ","Crown Automotive",0,0,0,0,64.50,,848399046984,94.99
12110-5212,11232.01,"OMIX FULL LIGHT BAR 97-06  BLACK","Rugged Ridge",0,0,0,0,143.99,,804314002145,199.99
12110-53,11138.01,"OMX FULL LIGHT BAR 97-06 STAINLESS","Rugged Ridge",0,1,0,1,189.35,,804314001681,262.99
12118-02,495,"REAR BUMPER W/RECEIVER 97-06 TJ","Warrior Products",0,0,0,0,345.80,,,498.99
12118-12,500,"REAR BUMPER W/O RECEIVER 97-06 TJ","Warrior Products",0,0,0,0,264.72,,,381.99
12503-00,55345059,"HOOD 1987-95 WRANGLER-STEEL","Crown Automotive",0,0,0,0,264.60,75,848399021226,388.99
12504-00,12005.06,"STEEL TAILGATE 87-95 WRANGLER",OMIX,0,1,0,1,282.52,,804314059590,489.99
12514-51,5AH16JX9,"STD YJ FLARE-REAR PASS SIDE","Crown Automotive",0,2,0,2,22.57,,848399046786,33.99
12515-02,907APC,"DIA PLATE CORNERS 87-95 YJ BLACK","Warrior Products",0,0,0,0,198.88,,634146907048,286.99
12515-03,907A,"DIA PLATE CORNERS 87-95 YJ ALUMINUM","Warrior Products",0,0,0,0,167.70,,634146907031,241.99
12515-05,907,"DIA PLT CRNR YJ ALU W/O CUTOUT","Warrior Products",0,0,0,0,160.08,,,230.99
12515-12,807PC,"SHORT CORNERS: 87-95 YJ-BLACK","Warrior Products",0,0,0,0,70.68,,,101.99
12515-13,807,"SHORT CORNERS: 87-95 YJ-BRITE","Warrior Products",0,0,0,0,62.36,,,89.99
12516-02,908PC,"DIA PLATE SIDES 87-95 YJ BLACK","Warrior Products",0,0,0,0,164.93,,634146908021,237.99
12516-03,908,"DIA PLATE SIDES 87-95 YJ ALUMINUM","Warrior Products",0,0,0,0,130.28,,634146908014,187.99
12517-501,908CPC,"DIA PLATE REAR PANL 87-95 YJ BLACK","Warrior Products",0,1,0,1,51.97,,634146908045,74.99
12517-503,908C,"DIA PLATE REAR PANL 87-95 YJ ALUMINUM","Warrior Products",0,0,0,0,36.72,,634146908038,52.99
12517-05,908D,"TAILGATE CVR 87-95 YJ BRITE","Warrior Products",0,0,0,0,106.02,,634146908052,152.99
12517-06,908DPC,"TAILGATE CVR 87-95 YJ BLACK","Warrior Products",0,1,0,1,125.43,,634146908069,180.99
