PartNumber,PartDescription,Brand,DisplayStyleNo,Finish,Size,BoltPattern,Offset,CenterBore,LoadRating,ShippingWeight,ImageURL,InvOrderType,Style,TotalQOH,MSRP_CAD,MAP_CAD,RunDate,1011,1015,1019,1022,1028,1031,1036,1042,1072,1085,1086,1088,4033,4035
000000000001056059,NOMAD DELUXE 17X8.5 5X5 71 +0 MTL-BLK,Teraflex,056,,17X8.5,5X5.0,0,71.50,,15.94,,N2,NOMAD,0,495.00,495.00,03/09/2026 8:06:31 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000000001056150,NOMAD BASE 17X8.5 5X5 71 +0 TNM-GRY,Teraflex,056,,17X8.5,5X5.0,0,71.50,,15.99,,N2,NOMAD,0,462.00,462.00,03/09/2026 8:06:31 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000000001056169,NOMAD DELUXE 17X8.5 6X5.5 106 -12 TNMGRY,Teraflex,056,,17X8.5,6X5.5,-12,106.10,,16.78,,N2,NOMAD,0,502.00,502.00,03/09/2026 8:06:31 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000000001058029,NOMAD SPLIT 17X8.5 6X5.5 106 +0 MTL-BLK,Teraflex,058,,17X8.5,6X5.5,0,106.10,,14.97,,N2,NOMAD,0,507.00,507.00,03/09/2026 8:06:31 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000000001058049,NOMAD SPLIT 17X8.5 6X5.5 106 -12 MTL-BLK,Teraflex,058,,17X8.5,6X5.5,-12,106.10,,15.42,,N2,NOMAD,0,507.00,507.00,03/09/2026 8:06:31 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000000001058059,NOMAD SPLIT 17X8.5 5X5 71 -12 MTL-BLK,Teraflex,058,,17X8.5,5X5.0,-12,71.50,1020.41,14.51,,ST,NOMAD,4,507.00,507.00,03/09/2026 8:06:31 AM,0,0,0,0,0,0,0,0,0,0,0,0,4,0
000000000001058089,NOMAD SPLIT 17X8.5 8X6.5 125 -12 MTL-BLK,Teraflex,058,,17X8.5,8X6.5,-12,125.20,1020.41,14.97,,ST,NOMAD,3,507.00,507.00,03/09/2026 8:06:31 AM,0,0,0,0,0,0,0,3,0,0,0,0,0,0
000000000001058249,NOMAD SPLIT 17X8.5 6X5.5 106 -12 BRNZ,Teraflex,058,,17X8.5,6X5.5,-12,106.10,,14.97,,N2,NOMAD,0,507.00,507.00,03/09/2026 8:06:31 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000000001058259,NOMAD SPLIT 17X8.5 5X5 71 -12 BRNZ,Teraflex,058,,17X8.5,5X5.0,-12,71.50,1020.41,14.97,,ST,NOMAD,5,507.00,507.00,03/09/2026 8:06:31 AM,0,0,0,0,0,0,0,0,0,0,0,0,5,0
000000000001058289,NOMAD SPLIT 17X8.5 8X6.5 125 -12 BRNZ,Teraflex,058,,17X8.5,8X6.5,-12,125.20,1020.41,14.97,,ST,NOMAD,0,507.00,507.00,03/09/2026 8:06:31 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000000001059056,OLYMPUS BL 17X9 5X5 71 -25 BLK-MACH,Teraflex,059,,17X9,5X5.0,-25,71.00,1020.41,21.32,,ST,OLYMPUS BEADLOCK,0,768.00,768.00,03/09/2026 8:06:31 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000000001059059,OLYMPUS BL 17X9 5X5 71 -12 BLK-MACH,Teraflex,059,,17X9,5X5.0,-12,71.50,1020.41,21.32,,ST,OLYMPUS BEADLOCK,5,768.00,768.00,03/09/2026 8:06:31 AM,4,0,0,0,0,0,0,0,0,0,0,0,1,0
