comparison,bucket,ordersDelta,ordersDeltaPct,subtotalDelta,subtotalDeltaPct,avgOrderSubtotalDelta,avgItemsPerOrderDelta,shippingCollectedDelta,freeShippingOrderPctDelta
promo_vs_previous_week_1,all,25,12.3,6365.52,6.6,-24.51,-0.17,-430,10.3
promo_vs_previous_week_1,under_199,3,3.6,1583.32,18,14.71,-0.31,50,1
promo_vs_previous_week_1,promo_band_199_to_249,15,187.5,3209.9,171.9,-12.64,0.58,-240,87.5
promo_vs_previous_week_1,promo_band_250_to_299,-1,-5,-451.8,-8.2,-9.25,-0.43,-70,10
promo_vs_previous_week_1,promo_band_300_to_349,2,20,719.26,22.6,6.79,-0.63,-170,50
promo_vs_previous_week_1,standard_free_shipping_350_plus,6,7.3,1304.84,1.7,-49.77,-0.05,0,0
promo_vs_previous_week_2,all,24,11.8,8030.07,8.4,-14.01,-0.14,-502,11.6
promo_vs_previous_week_2,under_199,1,1.2,1136.59,12.3,11.95,0.02,38,-0.1
promo_vs_previous_week_2,promo_band_199_to_249,12,109.1,2522.41,98.7,-11.49,0.69,-270,72.7
promo_vs_previous_week_2,promo_band_250_to_299,5,35.7,1363.52,36.8,2.07,-0.68,-135,28.6
promo_vs_previous_week_2,promo_band_300_to_349,5,71.4,1640.54,72.4,1.75,-0.97,-135,57.1
promo_vs_previous_week_2,standard_free_shipping_350_plus,1,1.1,1367.01,1.8,5.4,-0.24,0,0
promo_vs_previous_week_3,all,25,12.3,12888.71,14.2,7.62,0.05,-1055,19.2
promo_vs_previous_week_3,under_199,4,4.9,1581.45,18,13.4,-0.06,95,0.9
promo_vs_previous_week_3,promo_band_199_to_249,3,15,583.11,13,-3.95,0.76,-695,100
promo_vs_previous_week_3,promo_band_250_to_299,11,137.5,2971.85,141.6,4.5,0.07,-245,87.5
promo_vs_previous_week_3,promo_band_300_to_349,5,71.4,1640.34,72.3,1.73,-0.26,-210,85.7
promo_vs_previous_week_3,standard_free_shipping_350_plus,2,2.3,6111.96,8.4,50.2,0.08,0,0
promo_vs_previous_week_4,all,22,10.7,13380.16,14.9,16.51,-0.01,-1523.22,22.8
promo_vs_previous_week_4,under_199,9,11.7,1396.62,15.6,4.04,0.02,224.78,-2
promo_vs_previous_week_4,promo_band_199_to_249,2,9.5,349.8,7.4,-4.36,0.29,-715,100
promo_vs_previous_week_4,promo_band_250_to_299,5,35.7,1280.53,33.8,-3.85,0.03,-485,100
promo_vs_previous_week_4,promo_band_300_to_349,1,9.1,321.42,9,-0.39,-0.38,-350,90.9
promo_vs_previous_week_4,standard_free_shipping_350_plus,5,6,10031.79,14.5,66.79,-0.03,-198,4.8
promo_vs_previous_4_week_average,all,24,11.8,10166.12,10.9,-3.54,-0.07,-877.55,16
promo_vs_previous_4_week_average,under_199,4.25,5.2,1424.5,15.9,11.15,-0.09,101.94,0
promo_vs_previous_4_week_average,promo_band_199_to_249,8,53.3,1666.31,48.9,-6.64,0.56,-480,93.3
promo_vs_previous_4_week_average,promo_band_250_to_299,5,35.7,1291.02,34.2,-3.11,-0.31,-233.75,48.2
promo_vs_previous_4_week_average,promo_band_300_to_349,3.25,37.1,1080.39,38.2,2.51,-0.54,-216.25,71.4
promo_vs_previous_4_week_average,standard_free_shipping_350_plus,3.5,4.1,4703.9,6.3,18.49,-0.06,-49.5,1.2
