period,label,start,end,orderSubtotal,bucket,orders,orderSharePct,subtotal,subtotalSharePct,avgOrderSubtotal,avgItemsPerOrder
previous_week_4,4 weeks before promo,2026-06-01,2026-06-07,Under $199,under_199,77,37.4,8975.32,10,116.56,1.32
previous_week_4,4 weeks before promo,2026-06-01,2026-06-07,$199-$249.99,promo_band_199_to_249,21,10.2,4727.15,5.2,225.1,1.67
previous_week_4,4 weeks before promo,2026-06-01,2026-06-07,$250-$299.99,promo_band_250_to_299,14,6.8,3790.42,4.2,270.74,1.29
previous_week_4,4 weeks before promo,2026-06-01,2026-06-07,$300-$349.99,promo_band_300_to_349,11,5.3,3586.32,4,326.03,1.55
previous_week_4,4 weeks before promo,2026-06-01,2026-06-07,$350+,standard_free_shipping_350_plus,83,40.3,68966.38,76.6,830.92,2.04
previous_week_3,3 weeks before promo,2026-06-08,2026-06-14,Under $199,under_199,82,40.4,8790.49,9.7,107.2,1.4
previous_week_3,3 weeks before promo,2026-06-08,2026-06-14,$199-$249.99,promo_band_199_to_249,20,9.9,4493.84,5,224.69,1.2
previous_week_3,3 weeks before promo,2026-06-08,2026-06-14,$250-$299.99,promo_band_250_to_299,8,3.9,2099.1,2.3,262.39,1.25
previous_week_3,3 weeks before promo,2026-06-08,2026-06-14,$300-$349.99,promo_band_300_to_349,7,3.4,2267.4,2.5,323.91,1.43
previous_week_3,3 weeks before promo,2026-06-08,2026-06-14,$350+,standard_free_shipping_350_plus,86,42.4,72886.21,80.5,847.51,1.93
previous_week_2,2 weeks before promo,2026-06-15,2026-06-21,Under $199,under_199,85,41.7,9235.35,9.7,108.65,1.32
previous_week_2,2 weeks before promo,2026-06-15,2026-06-21,$199-$249.99,promo_band_199_to_249,11,5.4,2554.54,2.7,232.23,1.27
previous_week_2,2 weeks before promo,2026-06-15,2026-06-21,$250-$299.99,promo_band_250_to_299,14,6.9,3707.43,3.9,264.82,2
previous_week_2,2 weeks before promo,2026-06-15,2026-06-21,$300-$349.99,promo_band_300_to_349,7,3.4,2267.2,2.4,323.89,2.14
previous_week_2,2 weeks before promo,2026-06-15,2026-06-21,$350+,standard_free_shipping_350_plus,87,42.6,77631.16,81.4,892.31,2.25
previous_week_1,1 week before promo,2026-06-22,2026-06-28,Under $199,under_199,83,40.9,8788.62,9.1,105.89,1.65
previous_week_1,1 week before promo,2026-06-22,2026-06-28,$199-$249.99,promo_band_199_to_249,8,3.9,1867.05,1.9,233.38,1.38
previous_week_1,1 week before promo,2026-06-22,2026-06-28,$250-$299.99,promo_band_250_to_299,20,9.9,5522.75,5.7,276.14,1.75
previous_week_1,1 week before promo,2026-06-22,2026-06-28,$300-$349.99,promo_band_300_to_349,10,4.9,3188.48,3.3,318.85,1.8
previous_week_1,1 week before promo,2026-06-22,2026-06-28,$350+,standard_free_shipping_350_plus,82,40.4,77693.33,80,947.48,2.06
promo,Promo: free shipping over $199,2026-06-29,2026-07-05,Under $199,under_199,86,37.7,10371.94,10,120.6,1.34
promo,Promo: free shipping over $199,2026-06-29,2026-07-05,$199-$249.99,promo_band_199_to_249,23,10.1,5076.95,4.9,220.74,1.96
promo,Promo: free shipping over $199,2026-06-29,2026-07-05,$250-$299.99,promo_band_250_to_299,19,8.3,5070.95,4.9,266.89,1.32
promo,Promo: free shipping over $199,2026-06-29,2026-07-05,$300-$349.99,promo_band_300_to_349,12,5.3,3907.74,3.8,325.64,1.17
promo,Promo: free shipping over $199,2026-06-29,2026-07-05,$350+,standard_free_shipping_350_plus,88,38.6,78998.17,76.4,897.71,2.01
previous_4_week_average,Previous 4 week average,,,Under $199,under_199,81.75,40.1,8947.44,9.6,109.45,1.43
previous_4_week_average,Previous 4 week average,,,$199-$249.99,promo_band_199_to_249,15,7.4,3410.64,3.7,227.38,1.4
previous_4_week_average,Previous 4 week average,,,$250-$299.99,promo_band_250_to_299,14,6.9,3779.93,4.1,270,1.63
previous_4_week_average,Previous 4 week average,,,$300-$349.99,promo_band_300_to_349,8.75,4.3,2827.35,3,323.13,1.71
previous_4_week_average,Previous 4 week average,,,$350+,standard_free_shipping_350_plus,84.5,41.4,74294.27,79.7,879.22,2.07
