window,bucket,orders,qty,subtotal,grandTotal,tax,shippingCollected,bis,freeShippingOrders,paidShippingOrders,avgOrderSubtotal,avgOrderGrandTotal,avgItemsPerOrder,freeShippingOrderPct,shippingCollectedPerOrder
previous_week_4,all,206,341,90045.59,104618.62,8212.36,3513.22,2847.45,86,120,437.11,507.86,1.66,41.7,17.05
previous_week_4,under_199,77,102,8975.32,11807.06,1000.87,1765.22,65.65,6,71,116.56,153.34,1.32,7.8,22.92
previous_week_4,promo_band_199_to_249,21,35,4727.15,6003.73,506.78,715,54.8,0,21,225.1,285.89,1.67,0,34.05
previous_week_4,promo_band_250_to_299,14,18,3790.42,4691.29,347.07,485,68.8,0,14,270.74,335.09,1.29,0,34.64
previous_week_4,promo_band_300_to_349,11,17,3586.32,4204.73,252.56,350,15.85,1,10,326.03,382.25,1.55,9.1,31.82
previous_week_4,standard_free_shipping_350_plus,83,169,68966.38,77911.82,6105.09,198,2642.35,79,4,830.92,938.7,2.04,95.2,2.39
previous_week_3,all,203,325,90537.04,104841.42,7920.68,3045,3498.41,92,111,446,516.46,1.6,45.3,15
previous_week_3,under_199,82,115,8790.49,11571.08,824.79,1895,60.8,4,78,107.2,141.11,1.4,4.9,23.11
previous_week_3,promo_band_199_to_249,20,24,4493.84,5693.18,424.59,695,79.75,0,20,224.69,284.66,1.2,0,34.75
previous_week_3,promo_band_250_to_299,8,10,2099.1,2563.13,193.18,245,185.56,1,7,262.39,320.39,1.25,12.5,30.63
previous_week_3,promo_band_300_to_349,7,10,2267.4,2736.99,247.69,210,11.9,1,6,323.91,391,1.43,14.3,30
previous_week_3,standard_free_shipping_350_plus,86,166,72886.21,82277.04,6230.43,0,3160.4,86,0,847.51,956.71,1.93,100,0
previous_week_2,all,204,365,95395.68,109050.66,8460.03,2492,3329.73,108,96,467.63,534.56,1.79,52.9,12.22
previous_week_2,under_199,85,112,9235.35,12318.21,911.51,1952,461.58,5,80,108.65,144.92,1.32,5.9,22.96
previous_week_2,promo_band_199_to_249,11,14,2554.54,3151.65,266.26,270,60.85,3,8,232.23,286.51,1.27,27.3,24.55
previous_week_2,promo_band_250_to_299,14,28,3707.43,4389.93,441.7,135,105.8,10,4,264.82,313.57,2,71.4,9.64
previous_week_2,promo_band_300_to_349,7,15,2267.2,2675.36,263.26,135,9.9,3,4,323.89,382.19,2.14,42.9,19.29
previous_week_2,standard_free_shipping_350_plus,87,196,77631.16,86515.51,6577.3,0,2691.6,87,0,892.31,994.43,2.25,100,0
previous_week_1,all,203,370,97060.23,111619.64,8884.76,2420,3322.45,110,93,478.13,549.85,1.82,54.2,11.92
previous_week_1,under_199,83,137,8788.62,11852.83,1007.71,1940,184.3,4,79,105.89,142.81,1.65,4.8,23.37
previous_week_1,promo_band_199_to_249,8,11,1867.05,2384.6,203.7,240,73.85,1,7,233.38,298.07,1.38,12.5,30
previous_week_1,promo_band_250_to_299,20,35,5522.75,6170.91,468.41,70,109.75,18,2,276.14,308.55,1.75,90,3.5
previous_week_1,promo_band_300_to_349,10,18,3188.48,3670.18,284.75,170,26.95,5,5,318.85,367.02,1.8,50,17
previous_week_1,standard_free_shipping_350_plus,82,169,77693.33,87541.13,6920.2,0,2927.6,82,0,947.48,1067.57,2.06,100,0
promo,all,228,376,103425.75,116910.57,8828.72,1990,2998.03,147,81,453.62,512.77,1.65,64.5,8.73
promo,under_199,86,115,10371.94,13637.96,1086.62,1990,189.4,5,81,120.6,158.58,1.34,5.8,23.14
promo,promo_band_199_to_249,23,45,5076.95,5661.58,483.18,0,101.45,23,0,220.74,246.16,1.96,100,0
promo,promo_band_250_to_299,19,25,5070.95,5622.56,476.76,0,74.85,19,0,266.89,295.92,1.32,100,0
promo,promo_band_300_to_349,12,14,3907.74,4276.71,329.07,0,371.83,12,0,325.64,356.39,1.17,100,0
promo,standard_free_shipping_350_plus,88,177,78998.17,87711.76,6453.09,0,2260.5,88,0,897.71,996.72,2.01,100,0
previous_4_week_average,all,204,350.25,93259.63,107532.58,8369.46,2867.55,3249.51,99,105,457.16,527.12,1.72,48.5,14.06
previous_4_week_average,under_199,81.75,116.5,8947.44,11887.3,936.22,1888.06,193.08,4.75,77,109.45,145.41,1.43,5.8,23.1
previous_4_week_average,promo_band_199_to_249,15,21,3410.64,4308.29,350.33,480,67.31,1,14,227.38,287.22,1.4,6.7,32
previous_4_week_average,promo_band_250_to_299,14,22.75,3779.93,4453.82,362.59,233.75,117.48,7.25,6.75,270,318.13,1.63,51.8,16.7
previous_4_week_average,promo_band_300_to_349,8.75,15,2827.35,3321.82,262.06,216.25,16.15,2.5,6.25,323.13,379.64,1.71,28.6,24.71
previous_4_week_average,standard_free_shipping_350_plus,84.5,175,74294.27,83561.38,6458.26,49.5,2855.49,83.5,1,879.22,988.89,2.07,98.8,0.59
